Epoch 4, FID: 337.9831, Inception Score: 1.0000
Epoch 9, FID: 420.2990, Inception Score: 1.0000
Epoch 14, FID: 435.3871, Inception Score: 1.0000
Epoch 19, FID: 493.6588, Inception Score: 1.0000
Epoch 24, FID: 554.4965, Inception Score: 1.0000
Epoch 29, FID: 495.9928, Inception Score: 1.0000
Epoch 34, FID: 526.9065, Inception Score: 1.0000
Epoch 39, FID: 512.8824, Inception Score: 1.0000
Epoch 44, FID: 464.4525, Inception Score: 1.0000
Epoch 49, FID: 520.5030, Inception Score: 1.0000
Epoch 54, FID: 506.3055, Inception Score: 1.0000
Epoch 59, FID: 471.3315, Inception Score: 1.0000
Epoch 64, FID: 469.4564, Inception Score: 1.0000
Epoch 69, FID: 492.7714, Inception Score: 1.0000
Epoch 74, FID: 524.3762, Inception Score: 1.0000
Epoch 79, FID: 504.2520, Inception Score: 1.0000
Epoch 84, FID: 567.4072, Inception Score: 1.0000
Epoch 89, FID: 546.3780, Inception Score: 1.0000
Epoch 94, FID: 600.2593, Inception Score: 1.0000
Epoch 99, FID: 558.0436, Inception Score: 1.0000
