Epoch 0, FID: 90.6511, Inception Score: 1.0186
Epoch 1, FID: 88.9475, Inception Score: 1.0564
Epoch 2, FID: 88.3050, Inception Score: 1.1337
Epoch 3, FID: 87.1649, Inception Score: 1.1136
Epoch 4, FID: 87.6164, Inception Score: 1.1411
Epoch 5, FID: 87.5878, Inception Score: 1.1688
Epoch 6, FID: 87.4522, Inception Score: 1.1614
Epoch 7, FID: 87.1755, Inception Score: 1.1528
Epoch 8, FID: 87.5501, Inception Score: 1.1589
Epoch 9, FID: 87.6441, Inception Score: 1.1668
Epoch 10, FID: 87.1191, Inception Score: 1.1863
Epoch 11, FID: 86.9827, Inception Score: 1.1826
Epoch 12, FID: 86.7794, Inception Score: 1.1888
Epoch 13, FID: 86.5402, Inception Score: 1.2057
Epoch 14, FID: 86.4756, Inception Score: 1.2073
Epoch 15, FID: 86.4316, Inception Score: 1.2157
Epoch 16, FID: 86.4677, Inception Score: 1.2309
Epoch 17, FID: 86.3628, Inception Score: 1.2312
Epoch 18, FID: 86.3212, Inception Score: 1.2428
Epoch 19, FID: 86.2822, Inception Score: 1.2520
Epoch 20, FID: 86.1374, Inception Score: 1.2475
Epoch 21, FID: 85.4946, Inception Score: 1.2938
Epoch 22, FID: 85.1282, Inception Score: 1.3267
Epoch 23, FID: 85.0402, Inception Score: 1.4074
Epoch 24, FID: 84.7095, Inception Score: 1.4218
Epoch 25, FID: 84.5019, Inception Score: 1.4498
Epoch 26, FID: 84.3615, Inception Score: 1.4591
Epoch 27, FID: 84.0917, Inception Score: 1.4642
Epoch 28, FID: 83.5965, Inception Score: 1.4676
Epoch 29, FID: 83.1126, Inception Score: 1.4835
Epoch 30, FID: 82.7181, Inception Score: 1.4939
Epoch 31, FID: 82.3972, Inception Score: 1.4948
Epoch 32, FID: 82.0368, Inception Score: 1.4948
Epoch 33, FID: 81.7226, Inception Score: 1.4881
Epoch 34, FID: 81.4448, Inception Score: 1.5026
Epoch 35, FID: 81.1300, Inception Score: 1.5011
Epoch 36, FID: 80.8328, Inception Score: 1.5164
Epoch 37, FID: 80.3668, Inception Score: 1.5176
Epoch 38, FID: 80.1063, Inception Score: 1.5135
Epoch 39, FID: 79.8768, Inception Score: 1.5470
Epoch 40, FID: 79.6189, Inception Score: 1.6177
Epoch 41, FID: 79.4220, Inception Score: 1.6581
Epoch 42, FID: 79.1060, Inception Score: 1.6697
Epoch 43, FID: 78.8357, Inception Score: 1.6914
Epoch 44, FID: 78.5604, Inception Score: 1.6956
Epoch 45, FID: 78.2852, Inception Score: 1.7149
Epoch 46, FID: 78.0343, Inception Score: 1.7222
Epoch 47, FID: 77.7773, Inception Score: 1.7258
Epoch 48, FID: 77.5558, Inception Score: 1.7341
Epoch 49, FID: 77.2964, Inception Score: 1.7373
Epoch 50, FID: 77.1001, Inception Score: 1.7453
Epoch 51, FID: 76.8805, Inception Score: 1.7502
Epoch 52, FID: 76.6716, Inception Score: 1.7489
Epoch 53, FID: 76.4723, Inception Score: 1.7451
Epoch 54, FID: 76.2729, Inception Score: 1.7395
Epoch 55, FID: 76.0791, Inception Score: 1.7450
Epoch 56, FID: 75.9019, Inception Score: 1.7430
Epoch 57, FID: 75.7251, Inception Score: 1.7440
Epoch 58, FID: 75.5593, Inception Score: 1.7353
Epoch 59, FID: 75.4085, Inception Score: 1.7340
Epoch 60, FID: 75.2576, Inception Score: 1.7350
Epoch 61, FID: 75.0914, Inception Score: 1.7261
Epoch 62, FID: 74.9483, Inception Score: 1.7273
Epoch 63, FID: 74.7939, Inception Score: 1.7190
Epoch 64, FID: 74.6709, Inception Score: 1.7174
Epoch 65, FID: 74.5350, Inception Score: 1.7164
Epoch 66, FID: 74.4228, Inception Score: 1.7032
Epoch 67, FID: 74.2996, Inception Score: 1.6986
Epoch 68, FID: 74.1735, Inception Score: 1.7019
Epoch 69, FID: 74.0389, Inception Score: 1.6947
Epoch 70, FID: 73.9274, Inception Score: 1.6915
Epoch 71, FID: 73.8124, Inception Score: 1.6883
Epoch 72, FID: 73.7074, Inception Score: 1.6808
Epoch 73, FID: 73.5884, Inception Score: 1.6779
Epoch 74, FID: 73.5034, Inception Score: 1.6717
Epoch 75, FID: 73.4041, Inception Score: 1.6647
Epoch 76, FID: 73.3097, Inception Score: 1.6628
Epoch 77, FID: 73.2094, Inception Score: 1.6551
Epoch 78, FID: 73.1154, Inception Score: 1.6518
Epoch 79, FID: 73.0189, Inception Score: 1.6459
Epoch 80, FID: 72.9286, Inception Score: 1.6395
Epoch 81, FID: 72.8354, Inception Score: 1.6376
Epoch 82, FID: 72.7599, Inception Score: 1.6340
Epoch 83, FID: 72.6930, Inception Score: 1.6240
Epoch 84, FID: 72.6070, Inception Score: 1.6229
Epoch 85, FID: 72.5260, Inception Score: 1.6203
Epoch 86, FID: 72.4488, Inception Score: 1.6150
Epoch 87, FID: 72.3769, Inception Score: 1.6082
Epoch 88, FID: 72.2964, Inception Score: 1.6048
Epoch 89, FID: 72.2212, Inception Score: 1.6000
Epoch 90, FID: 72.1540, Inception Score: 1.5970
Epoch 91, FID: 72.0801, Inception Score: 1.5892
Epoch 92, FID: 72.0262, Inception Score: 1.5869
Epoch 93, FID: 71.9536, Inception Score: 1.5832
Epoch 94, FID: 71.8775, Inception Score: 1.5778
Epoch 95, FID: 71.8247, Inception Score: 1.5763
Epoch 96, FID: 71.7690, Inception Score: 1.5707
Epoch 97, FID: 71.7028, Inception Score: 1.5651
Epoch 98, FID: 71.6519, Inception Score: 1.5616
Epoch 99, FID: 71.5858, Inception Score: 1.5589



Epoch 4, FID: 478.4012, Inception Score: 1.0000
Epoch 9, FID: 330.0977, Inception Score: 1.0000
Epoch 14, FID: 415.8075, Inception Score: 1.0000
Epoch 19, FID: 383.7554, Inception Score: 1.0000
Epoch 24, FID: 431.3463, Inception Score: 1.0000
Epoch 29, FID: 342.0751, Inception Score: 1.0000
Epoch 34, FID: 437.6714, Inception Score: 1.0000
Epoch 39, FID: 433.4323, Inception Score: 1.0000
Epoch 44, FID: 454.0677, Inception Score: 1.0000
Epoch 49, FID: 339.8746, Inception Score: 1.0000
Epoch 54, FID: 302.2062, Inception Score: 1.0000
Epoch 59, FID: 243.9469, Inception Score: 1.0000
Epoch 64, FID: 305.9495, Inception Score: 1.0000
Epoch 69, FID: 332.7747, Inception Score: 1.0000
Epoch 74, FID: 301.2593, Inception Score: 1.0000
Epoch 79, FID: 276.1061, Inception Score: 1.0000
Epoch 84, FID: 365.3861, Inception Score: 1.0000
Epoch 89, FID: 344.0627, Inception Score: 1.0000
Epoch 94, FID: 250.7768, Inception Score: 1.0000
Epoch 99, FID: 267.7464, Inception Score: 1.0000
