Epoch 4, FID: 282.7537, Inception Score: 1.0000
Epoch 9, FID: 289.3634, Inception Score: 1.0000
Epoch 14, FID: 327.3142, Inception Score: 1.0000
Epoch 19, FID: 311.6590, Inception Score: 1.0000
Epoch 24, FID: 322.2457, Inception Score: 1.0000
Epoch 29, FID: 326.1286, Inception Score: 1.0000
Epoch 34, FID: 256.7551, Inception Score: 1.0000
Epoch 39, FID: 303.2322, Inception Score: 1.0000
Epoch 44, FID: 341.1624, Inception Score: 1.0000
Epoch 49, FID: 328.0611, Inception Score: 1.0000
Epoch 54, FID: 275.6745, Inception Score: 1.0000
Epoch 59, FID: 306.9832, Inception Score: 1.0000
Epoch 64, FID: 299.7402, Inception Score: 1.0000
Epoch 69, FID: 298.8244, Inception Score: 1.0000
Epoch 74, FID: 329.6478, Inception Score: 1.0000
Epoch 79, FID: 309.8225, Inception Score: 1.0000
Epoch 84, FID: 262.3307, Inception Score: 1.0000
Epoch 89, FID: 311.5203, Inception Score: 1.0000
Epoch 94, FID: 302.2192, Inception Score: 1.0000
Epoch 99, FID: 329.3810, Inception Score: 1.0000
