Epoch 4, FID: 287.2755, Inception Score: 1.0000
Epoch 9, FID: 303.6188, Inception Score: 1.0000
Epoch 14, FID: 305.4190, Inception Score: 1.0000
Epoch 19, FID: 310.1261, Inception Score: 1.0000
Epoch 24, FID: 312.2634, Inception Score: 1.0000
Epoch 29, FID: 294.9321, Inception Score: 1.0000
Epoch 34, FID: 267.8626, Inception Score: 1.0000
Epoch 39, FID: 344.1045, Inception Score: 1.0000
Epoch 44, FID: 299.3806, Inception Score: 1.0000
Epoch 49, FID: 282.9565, Inception Score: 1.0000
Epoch 54, FID: 289.6492, Inception Score: 1.0000
Epoch 59, FID: 325.1505, Inception Score: 1.0000
Epoch 64, FID: 265.2698, Inception Score: 1.0000
Epoch 69, FID: 295.0412, Inception Score: 1.0000
Epoch 74, FID: 327.5465, Inception Score: 1.0000
Epoch 79, FID: 285.5055, Inception Score: 1.0000
Epoch 84, FID: 328.2244, Inception Score: 1.0000
Epoch 89, FID: 295.1790, Inception Score: 1.0000
Epoch 94, FID: 315.6813, Inception Score: 1.0000
Epoch 99, FID: 294.3426, Inception Score: 1.0000
