Epoch 4, FID: 208.3721, Inception Score: 1.0000
Epoch 9, FID: 258.8538, Inception Score: 1.0000
Epoch 14, FID: 301.6069, Inception Score: 1.0000
Epoch 19, FID: 275.0250, Inception Score: 1.0000
Epoch 24, FID: 221.0629, Inception Score: 1.0000
Epoch 29, FID: 228.1920, Inception Score: 1.0000
Epoch 34, FID: 311.6938, Inception Score: 1.0000
Epoch 39, FID: 290.8474, Inception Score: 1.0000
Epoch 44, FID: 301.3019, Inception Score: 1.0000
Epoch 49, FID: 303.6674, Inception Score: 1.0000
Epoch 54, FID: 327.7241, Inception Score: 1.0000
Epoch 59, FID: 356.6539, Inception Score: 1.0000
Epoch 64, FID: 329.7630, Inception Score: 1.0000
Epoch 69, FID: 339.0045, Inception Score: 1.0000
Epoch 74, FID: 316.6050, Inception Score: 1.0000
Epoch 79, FID: 388.5508, Inception Score: 1.0000
Epoch 84, FID: 377.0557, Inception Score: 1.0000
Epoch 89, FID: 371.9144, Inception Score: 1.0000
Epoch 94, FID: 340.3187, Inception Score: 1.0000
Epoch 99, FID: 408.5406, Inception Score: 1.0000
