original_image,crop_image,x_center_px,y_center_px
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST000_COVER.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST000_COVER_Pleiades_1.jpg,1739.0008319999997,1521.999872
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST000_COVER.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST000_COVER_Jupiter_2.jpg,1424.9994239999999,785.498112
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST000_COVER.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST000_COVER_Aldebaran_3.jpg,1150.500864,968.4992
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST000_COVER.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST000_COVER_Elnath_4.jpg,1768.0005119999998,79.998976
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST000_COVER.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST000_COVER_Hassaleh_5.jpg,2085.000192,474.001408
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST000_COVER.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST000_COVER_Bellatrix_6.jpg,345.00096,282.001408
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST001.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST001_Pleiades_1.jpg,1737.4986239999998,1531.998208
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST001.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST001_Jupiter_2.jpg,1424.0010240000001,791.998464
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST001.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST001_Aldebaran_3.jpg,1151.499264,975.499264
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST001.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST001_Hassaleh_4.jpg,2094.9995519999998,491.999232
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST001.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST001_Elnath_5.jpg,1769.499648,86.499328
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST001.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST001_Bellatrix_6.jpg,339.499008,289.001472
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST002.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST002_Pleiades_1.jpg,1743.5013119999999,1543.499776
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST002.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST002_Jupiter_2.jpg,1434.000384,798.998528
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST002.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST002_Aldebaran_3.jpg,1165.000704,982.499328
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST002.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST002_Bellatrix_4.jpg,357.99859200000003,300.998656
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST002.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST002_Elnath_5.jpg,1774.9985279999999,94.998528
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST002.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST002_Hassaleh_6.jpg,2098.49856,495.501312
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST003.jpg,MobilTelesco_Processed\crops\train\Pleiades\IMG20250104211035_BURST003_Pleiades_1.jpg,1741.50144,1550.999552
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST003.jpg,MobilTelesco_Processed\crops\train\Jupiter\IMG20250104211035_BURST003_Jupiter_2.jpg,1430.5013760000002,803.00032
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST003.jpg,MobilTelesco_Processed\crops\train\Aldebaran\IMG20250104211035_BURST003_Aldebaran_3.jpg,1159.999488,994.500608
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST003.jpg,MobilTelesco_Processed\crops\train\Bellatrix\IMG20250104211035_BURST003_Bellatrix_4.jpg,355.501056,308.498432
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST003.jpg,MobilTelesco_Processed\crops\train\Elnath\IMG20250104211035_BURST003_Elnath_5.jpg,1772.998656,114.999296
D:/Shantanu/MBTR/sky-survey/Images\train\IMG20250104211035_BURST003.jpg,MobilTelesco_Processed\crops\train\Hassaleh\IMG20250104211035_BURST003_Hassaleh_6.jpg,2090.999808,496.500736
